200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:00:13,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:02:55,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:02:55,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:03:34,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:03:35,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:03:35,
200 | rickandmortyapi.com/api/character/2 | localHost/users/[userId] | 2024-11-15 16:03:45,
200 | rickandmortyapi.com/api/character/2 | localHost/users/[userId] | 2024-11-15 16:03:45,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:07:23,
200 | rickandmortyapi.com/api/character | localHost/users | 2024-11-15 16:07:23,
200 | rickandmortyapi.com/api/character/2 | localHost/users/[userId] | 2024-11-15 16:07:24,
200 | rickandmortyapi.com/api/character/2 | localHost/users/[userId] | 2024-11-15 16:07:24,
